"name"	"SN2001es"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"7"
"discoverer"	"LOTOSS"
"discovermonth"	"10"
"discoveryear"	"2001"
"galdec"	"+190527"
"galra"	"020208"
"host"	"A020208+1905"
"maxday"	"7"
"maxmonth"	"10"
"maxyear"	"2001"
"sndec"	"+190527.5"
"snra"	"020208.27"
"photometry"	"timeunit"	"MJD"	"time"	"52189.4"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52190.4"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
