"name"	"SN2002cq"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"discoverday"	"20"
"discoverer"	"Wood-Vasey et al."
"discovermonth"	"4"
"discoveryear"	"2002"
"galdec"	"-025813"
"galra"	"123840"
"host"	"A123840-0258"
"maxday"	"20"
"maxmonth"	"4"
"maxyear"	"2002"
"sndec"	"-025813.4"
"snra"	"123840.43"
"photometry"	"timeunit"	"MJD"	"time"	"52384.3"	"band"	"C"	"abmag"	"19.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52393.2"	"band"	"C"	"abmag"	"19.2"	"source"	"1,2"
