"name"	"SN2002gc"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"3"
"discoverer"	"Boles"
"discovermonth"	"10"
"discoveryear"	"2002"
"galdec"	"+464807"
"galra"	"015542"
"host"	"UGC 1394"
"hvel"	"6388"
"maxday"	"26"
"maxmonth"	"10"
"maxyear"	"2002"
"redshift"	"0.0215"
"sndec"	"+464819.4"
"snra"	"015546.56"
"photometry"	"timeunit"	"MJD"	"time"	"52550.88"	"band"	"C"	"abmag"	"17.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52551.84"	"band"	"C"	"abmag"	"17.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52573.09"	"band"	"R"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52573.81"	"band"	"R"	"abmag"	"17.3"	"source"	"1,2"
