"name"	"SN2003bj"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"II"
"discoverday"	"27"
"discoverer"	"Chassagne"
"discovermonth"	"2"
"discoveryear"	"2003"
"galdec"	"-313751"
"galra"	"131830"
"host"	"IC 4219"
"hvel"	"3647"
"maxday"	"27"
"maxmonth"	"2"
"maxyear"	"2003"
"redshift"	"0.0122"
"sndec"	"-313737.7"
"snra"	"131829.10"
"photometry"	"timeunit"	"MJD"	"time"	"52697.8"	"band"	"C"	"abmag"	"15.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52699.81"	"band"	"C"	"abmag"	"15.1"	"source"	"1,2"
