"name"	"ASASSN-15dc"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7090'>ATEL 7090</a>"	"alias"	"2"
"aliases"	"ASASSN-15dc,PS15ag"
"claimedtype"	"Ia"
"discoverday"	"16"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"2"
"discoveryear"	"2015"
"maxday"	"16"
"maxmonth"	"2"
"maxyear"	"2015"
"redshift"	"0.041605"
"sndec"	"-00:32:24.4"
"snra"	"15:01:30.82"
"photometry"	"timeunit"	"MJD"	"time"	"57069.5"	"abmag"	"16.8"	"source"	"2,1"
