"name"	"SN2015aq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004192.txt'>CBET 4192</a>"	"alias"	"2"
"aliases"	"SN2015aq,CSS151210:092545+341636"
"claimedtype"	"II"
"discoverday"	"12"
"discoverer"	"MASTER"
"discovermonth"	"10"
"discoveryear"	"2015"
"galdec"	"+341638"
"galra"	"092548"
"host"	"UGC 5015"
"hvel"	"1629"
"maxday"	"12"
"maxmonth"	"10"
"maxyear"	"2015"
"redshift"	"0.0054"
"sndec"	"+34:16:36.1"
"snra"	"09:25:44.53"
"photometry"	"timeunit"	"MJD"	"time"	"57307.5"	"abmag"	"14.9"	"source"	"2,1"
