"name"	"SN2001if"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"Boles"
"discovermonth"	"12"
"discoveryear"	"2001"
"galdec"	"+380554"
"galra"	"022901"
"host"	"M+06-06-43"
"hvel"	"11326"
"maxday"	"9"
"maxmonth"	"12"
"maxyear"	"2001"
"redshift"	"0.0385"
"sndec"	"+380552.7"
"snra"	"022854.93"
"photometry"	"timeunit"	"MJD"	"time"	"52252.98"	"band"	"C"	"abmag"	"17.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52253.01"	"band"	"C"	"abmag"	"17.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52253.78"	"band"	"C"	"abmag"	"17.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52255.02"	"band"	"R"	"abmag"	"17.8"	"source"	"1,2"
