"name"	"SN2013gt"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003737.txt'>CBET 3737</a>"	"alias"	"2"
"aliases"	"SN2013gt,PSN J07213165+5545321"
"claimedtype"	"Ia"
"discoverday"	"29"
"discoverer"	"Xing Gao et al."
"discovermonth"	"11"
"discoveryear"	"2013"
"galdec"	"+554525"
"galra"	"072131"
"host"	"PGC 20784"
"hvel"	"11420"
"maxday"	"29"
"maxmonth"	"11"
"maxyear"	"2013"
"redshift"	"0.038126"
"sndec"	"+55:45:32.1"
"snra"	"07:21:31.65"
"photometry"	"timeunit"	"MJD"	"time"	"56625.5"	"abmag"	"17.2"	"source"	"2,1"
