"name"	"SN2001I"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"IIn"
"discoverday"	"23"
"discoverer"	"LOTOSS"
"discovermonth"	"12"
"discoveryear"	"2000"
"galdec"	"+391742"
"galra"	"034357"
"host"	"UGC 2836"
"hvel"	"4963"
"maxday"	"16"
"maxmonth"	"1"
"maxyear"	"2001"
"redshift"	"0.0167"
"sndec"	"+391739.4"
"snra"	"034357.28"
"photometry"	"timeunit"	"MJD"	"time"	"51901.2"	"band"	"C"	"abmag"	"18.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51906.3"	"band"	"C"	"abmag"	"17.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51924.2"	"band"	"C"	"abmag"	"17.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51924.75"	"band"	"C"	"abmag"	"17.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51925.78"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
