"name"	"SN1999gf"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"29"
"discoverer"	"LOSS"
"discovermonth"	"11"
"discoveryear"	"1999"
"galdec"	"-005534"
"galra"	"101338"
"host"	"UGC 5515"
"hvel"	"13438"
"maxday"	"29"
"maxmonth"	"11"
"maxyear"	"1999"
"redshift"	"0.0459"
"sndec"	"-005609.6"
"snra"	"101337.00"
"photometry"	"timeunit"	"MJD"	"time"	"51511.01"	"band"	"C"	"abmag"	"17.5"	"source"	"1,2"
