"name"	"SN2002gy"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"Ib/c"
"discoverday"	"16"
"discoverer"	"LOTOSS"
"discovermonth"	"10"
"discoveryear"	"2002"
"galdec"	"+092827"
"galra"	"032236"
"host"	"UGC 2701"
"hvel"	"7292"
"maxday"	"16"
"maxmonth"	"10"
"maxyear"	"2002"
"redshift"	"0.0246"
"sndec"	"+092822.0"
"snra"	"032236.45"
"photometry"	"timeunit"	"MJD"	"time"	"52563.4"	"band"	"C"	"abmag"	"17.6"	"source"	"1,2"
